,Bentota_hotel
2014-12-28,76.0
2015-01-04,35.0
2015-01-11,46.0
2015-01-18,49.0
2015-01-25,59.0
2015-02-01,44.0
2015-02-08,49.0
2015-02-15,61.0
2015-02-22,49.0
2015-03-01,60.0
2015-03-08,43.0
2015-03-15,47.0
2015-03-22,54.0
2015-03-29,75.0
2015-04-05,90.0
2015-04-12,89.0
2015-04-19,62.0
2015-04-26,100.0
2015-05-03,61.0
2015-05-10,38.0
2015-05-17,44.0
2015-05-24,51.0
2015-05-31,56.0
2015-06-07,77.0
2015-06-14,56.0
2015-06-21,64.0
2015-06-28,70.0
2015-07-05,52.0
2015-07-12,69.0
2015-07-19,67.0
2015-07-26,68.0
2015-08-02,58.0
2015-08-09,67.0
2015-08-16,59.0
2015-08-23,74.0
2015-08-30,54.0
2015-09-06,54.0
2015-09-13,57.0
2015-09-20,71.0
2015-09-27,47.0
2015-10-04,55.0
2015-10-11,54.0
2015-10-18,50.0
2015-10-25,59.0
2015-11-01,43.0
2015-11-08,56.0
2015-11-15,62.0
2015-11-22,53.0
2015-11-29,57.0
2015-12-06,54.0
2015-12-13,68.0
2015-12-20,94.0
2015-12-27,61.0
2016-01-03,68.0
2016-01-10,53.0
2016-01-17,41.0
2016-01-24,33.0
2016-01-31,37.0
2016-02-07,57.0
2016-02-14,47.0
2016-02-21,40.0
2016-02-28,33.0
2016-03-06,47.0
2016-03-13,36.0
2016-03-20,48.0
2016-03-27,61.0
2016-04-03,58.0
2016-04-10,75.0
2016-04-17,59.0
2016-04-24,48.0
2016-05-01,57.0
2016-05-08,56.0
2016-05-15,40.0
2016-05-22,25.0
2016-05-29,37.0
2016-06-05,47.0
2016-06-12,35.0
2016-06-19,38.0
2016-06-26,51.0
2016-07-03,40.0
2016-07-10,43.0
2016-07-17,34.0
2016-07-24,36.0
2016-07-31,48.0
2016-08-07,50.0
2016-08-14,58.0
2016-08-21,44.0
2016-08-28,31.0
2016-09-04,49.0
2016-09-11,70.0
2016-09-18,33.0
2016-09-25,33.0
2016-10-02,29.0
2016-10-09,38.0
2016-10-16,43.0
2016-10-23,42.0
2016-10-30,41.0
2016-11-06,55.0
2016-11-13,39.0
2016-11-20,54.0
2016-11-27,52.0
2016-12-04,55.0
2016-12-11,43.0
2016-12-18,54.0
2016-12-25,38.0
2017-01-01,34.0
2017-01-08,56.0
2017-01-15,39.0
2017-01-22,47.0
2017-01-29,41.0
2017-02-05,44.0
2017-02-12,38.0
2017-02-19,36.0
2017-02-26,31.0
2017-03-05,41.0
2017-03-12,41.0
2017-03-19,53.0
2017-03-26,53.0
2017-04-02,49.0
2017-04-09,60.0
2017-04-16,59.0
2017-04-23,19.0
2017-04-30,39.0
2017-05-07,31.0
2017-05-14,27.0
2017-05-21,23.0
2017-05-28,20.0
2017-06-04,38.0
2017-06-11,29.0
2017-06-18,28.0
2017-06-25,26.0
2017-07-02,23.0
2017-07-09,31.0
2017-07-16,24.0
2017-07-23,24.0
2017-07-30,44.0
2017-08-06,51.0
2017-08-13,54.0
2017-08-20,51.0
2017-08-27,46.0
2017-09-03,48.0
2017-09-10,39.0
2017-09-17,34.0
2017-09-24,0.0
2017-10-01,44.0
2017-10-08,41.0
2017-10-15,37.0
2017-10-22,32.0
2017-10-29,44.0
2017-11-05,29.0
2017-11-12,34.0
2017-11-19,24.0
2017-11-26,34.0
2017-12-03,30.0
2017-12-10,38.0
2017-12-17,54.0
2017-12-24,49.0
2017-12-31,47.0
2018-01-07,44.0
2018-01-14,43.0
2018-01-21,34.0
2018-01-28,35.0
2018-02-04,35.0
2018-02-11,44.0
2018-02-18,32.0
2018-02-25,43.0
2018-03-04,34.0
2018-03-11,43.0
2018-03-18,41.0
2018-03-25,33.0
2018-04-01,50.0
2018-04-08,60.0
2018-04-15,60.0
2018-04-22,34.0
2018-04-29,41.0
2018-05-06,44.0
2018-05-13,42.0
2018-05-20,23.0
2018-05-27,33.0
2018-06-03,26.0
2018-06-10,31.0
2018-06-17,24.0
2018-06-24,27.0
2018-07-01,29.0
2018-07-08,32.0
2018-07-15,49.0
2018-07-22,38.0
2018-07-29,36.0
2018-08-05,46.0
2018-08-12,43.0
2018-08-19,53.0
2018-08-26,29.0
2018-09-02,45.0
2018-09-09,43.0
2018-09-16,42.0
2018-09-23,34.0
2018-09-30,21.0
2018-10-07,23.0
2018-10-14,32.0
2018-10-21,38.0
2018-10-28,19.0
2018-11-04,34.0
2018-11-11,40.0
2018-11-18,31.0
2018-11-25,39.0
2018-12-02,43.0
2018-12-09,43.0
2018-12-16,48.0
2018-12-23,61.0
2018-12-30,38.0
2019-01-06,40.0
2019-01-13,46.0
2019-01-20,41.0
2019-01-27,45.0
2019-02-03,37.0
2019-02-10,31.0
2019-02-17,31.0
2019-02-24,26.0
2019-03-03,32.0
2019-03-10,26.0
2019-03-17,45.0
2019-03-24,43.0
2019-03-31,37.0
2019-04-07,41.0
2019-04-14,42.0
2019-04-21,19.0
2019-04-28,0.0
2019-05-05,18.0
2019-05-12,33.0
2019-05-19,37.0
2019-05-26,50.0
2019-06-02,35.0
2019-06-09,35.0
