,job_vacancies
2014-12-28,31.0
2015-01-04,24.0
2015-01-11,32.0
2015-01-18,38.0
2015-01-25,37.0
2015-02-01,41.0
2015-02-08,36.0
2015-02-15,38.0
2015-02-22,33.0
2015-03-01,36.0
2015-03-08,42.0
2015-03-15,40.0
2015-03-22,42.0
2015-03-29,37.0
2015-04-05,32.0
2015-04-12,25.0
2015-04-19,45.0
2015-04-26,42.0
2015-05-03,37.0
2015-05-10,45.0
2015-05-17,38.0
2015-05-24,39.0
2015-05-31,38.0
2015-06-07,35.0
2015-06-14,38.0
2015-06-21,41.0
2015-06-28,38.0
2015-07-05,43.0
2015-07-12,37.0
2015-07-19,39.0
2015-07-26,29.0
2015-08-02,37.0
2015-08-09,31.0
2015-08-16,29.0
2015-08-23,36.0
2015-08-30,39.0
2015-09-06,36.0
2015-09-13,42.0
2015-09-20,38.0
2015-09-27,40.0
2015-10-04,39.0
2015-10-11,42.0
2015-10-18,39.0
2015-10-25,42.0
2015-11-01,45.0
2015-11-08,44.0
2015-11-15,46.0
2015-11-22,40.0
2015-11-29,44.0
2015-12-06,46.0
2015-12-13,47.0
2015-12-20,39.0
2015-12-27,37.0
2016-01-03,55.0
2016-01-10,45.0
2016-01-17,46.0
2016-01-24,43.0
2016-01-31,43.0
2016-02-07,36.0
2016-02-14,40.0
2016-02-21,37.0
2016-02-28,40.0
2016-03-06,36.0
2016-03-13,34.0
2016-03-20,34.0
2016-03-27,34.0
2016-04-03,33.0
2016-04-10,24.0
2016-04-17,42.0
2016-04-24,49.0
2016-05-01,45.0
2016-05-08,44.0
2016-05-15,36.0
2016-05-22,46.0
2016-05-29,48.0
2016-06-05,48.0
2016-06-12,45.0
2016-06-19,44.0
2016-06-26,41.0
2016-07-03,43.0
2016-07-10,35.0
2016-07-17,39.0
2016-07-24,35.0
2016-07-31,36.0
2016-08-07,37.0
2016-08-14,34.0
2016-08-21,37.0
2016-08-28,44.0
2016-09-04,45.0
2016-09-11,44.0
2016-09-18,49.0
2016-09-25,47.0
2016-10-02,49.0
2016-10-09,45.0
2016-10-16,46.0
2016-10-23,45.0
2016-10-30,46.0
2016-11-06,46.0
2016-11-13,48.0
2016-11-20,49.0
2016-11-27,40.0
2016-12-04,36.0
2016-12-11,38.0
2016-12-18,37.0
2016-12-25,33.0
2017-01-01,46.0
2017-01-08,47.0
2017-01-15,49.0
2017-01-22,44.0
2017-01-29,45.0
2017-02-05,43.0
2017-02-12,46.0
2017-02-19,44.0
2017-02-26,42.0
2017-03-05,40.0
2017-03-12,42.0
2017-03-19,40.0
2017-03-26,37.0
2017-04-02,35.0
2017-04-09,24.0
2017-04-16,42.0
2017-04-23,46.0
2017-04-30,41.0
2017-05-07,35.0
2017-05-14,42.0
2017-05-21,40.0
2017-05-28,40.0
2017-06-04,44.0
2017-06-11,45.0
2017-06-18,45.0
2017-06-25,38.0
2017-07-02,47.0
2017-07-09,45.0
2017-07-16,48.0
2017-07-23,43.0
2017-07-30,42.0
2017-08-06,44.0
2017-08-13,49.0
2017-08-20,42.0
2017-08-27,38.0
2017-09-03,48.0
2017-09-10,52.0
2017-09-17,49.0
2017-09-24,46.0
2017-10-01,43.0
2017-10-08,46.0
2017-10-15,47.0
2017-10-22,48.0
2017-10-29,48.0
2017-11-05,53.0
2017-11-12,50.0
2017-11-19,50.0
2017-11-26,49.0
2017-12-03,48.0
2017-12-10,46.0
2017-12-17,42.0
2017-12-24,42.0
2017-12-31,50.0
2018-01-07,52.0
2018-01-14,51.0
2018-01-21,46.0
2018-01-28,46.0
2018-02-04,44.0
2018-02-11,41.0
2018-02-18,50.0
2018-02-25,48.0
2018-03-04,50.0
2018-03-11,54.0
2018-03-18,57.0
2018-03-25,48.0
2018-04-01,50.0
2018-04-08,35.0
2018-04-15,49.0
2018-04-22,57.0
2018-04-29,51.0
2018-05-06,59.0
2018-05-13,60.0
2018-05-20,54.0
2018-05-27,64.0
2018-06-03,60.0
2018-06-10,60.0
2018-06-17,52.0
2018-06-24,46.0
2018-07-01,53.0
2018-07-08,59.0
2018-07-15,54.0
2018-07-22,53.0
2018-07-29,53.0
2018-08-05,58.0
2018-08-12,63.0
2018-08-19,60.0
2018-08-26,67.0
2018-09-02,70.0
2018-09-09,70.0
2018-09-16,64.0
2018-09-23,62.0
2018-09-30,64.0
2018-10-07,64.0
2018-10-14,68.0
2018-10-21,63.0
2018-10-28,62.0
2018-11-04,69.0
2018-11-11,60.0
2018-11-18,54.0
2018-11-25,62.0
2018-12-02,66.0
2018-12-09,60.0
2018-12-16,56.0
2018-12-23,52.0
2018-12-30,79.0
2019-01-06,83.0
2019-01-13,72.0
