,Daraz_Sri_Lanka
2023-01-01,83.0
2023-01-08,82.0
2023-01-15,82.0
2023-01-22,88.0
2023-01-29,87.0
2023-02-05,91.0
2023-02-12,100.0
2023-02-19,86.0
2023-02-26,75.0
2023-03-05,81.0
2023-03-12,79.0
2023-03-19,94.0
2023-03-26,80.0
2023-04-02,98.0
2023-04-09,81.0
2023-04-16,83.0
2023-04-23,74.0
2023-04-30,82.0
2023-05-07,71.0
2023-05-14,85.0
2023-05-21,79.0
2023-05-28,74.0
2023-06-04,86.0
2023-06-11,74.0
2023-06-18,77.0
2023-06-25,74.0
2023-07-02,79.0
2023-07-09,72.0
2023-07-16,80.0
2023-07-23,82.0
2023-07-30,84.0
2023-08-06,84.0
2023-08-13,91.0
2023-08-20,82.0
2023-08-27,91.0
2023-09-03,79.0
2023-09-10,72.0
2023-09-17,79.0
2023-09-24,85.0
2023-10-01,76.0
2023-10-08,72.0
2023-10-15,70.0
2023-10-22,76.0
2023-10-29,75.0
2023-11-05,90.0
2023-11-12,90.0
2023-11-19,80.0
2023-11-26,84.0
2023-12-03,85.0
2023-12-10,96.0
2023-12-17,86.0
2023-12-24,87.0
2023-12-31,78.0
2024-01-07,76.0
2024-01-14,75.0
2024-01-21,83.0
2024-01-28,80.0
2024-02-04,66.0
2024-02-11,72.0
2024-02-18,68.0
2024-02-25,68.0
2024-03-03,69.0
2024-03-10,66.0
2024-03-17,69.0
2024-03-24,79.0
2024-03-31,78.0
2024-04-07,70.0
2024-04-14,68.0
2024-04-21,70.0
2024-04-28,72.0
2024-05-05,69.0
2024-05-12,70.0
2024-05-19,60.0
2024-05-26,67.0
2024-06-02,74.0
2024-06-09,61.0
2024-06-16,64.0
2024-06-23,62.0
2024-06-30,70.0
2024-07-07,64.0
2024-07-14,59.0
2024-07-21,62.0
2024-07-28,60.0
2024-08-04,77.0
2024-08-11,80.0
2024-08-18,81.0
2024-08-25,64.0
2024-09-01,67.0
2024-09-08,68.0
2024-09-15,63.0
2024-09-22,59.0
2024-09-29,63.0
2024-10-06,64.0
2024-10-13,70.0
2024-10-20,66.0
2024-10-27,71.0
2024-11-03,72.0
2024-11-10,83.0
2024-11-17,68.0
2024-11-24,70.0
2024-12-01,73.0
2024-12-08,83.0
2024-12-15,86.0
2024-12-22,64.0
2024-12-29,63.0
2025-01-05,60.0
2025-01-12,70.0
2025-01-19,63.0
2025-01-26,48.0
2025-02-02,57.0
2025-02-09,57.0
2025-02-16,53.0
2025-02-23,48.0
2025-03-02,52.0
2025-03-09,44.0
2025-03-16,45.0
2025-03-23,47.0
2025-03-30,47.0
2025-04-06,53.0
2025-04-13,55.0
2025-04-20,50.0
2025-04-27,43.0
2025-05-04,47.0
2025-05-11,40.0
2025-05-18,41.0
2025-05-25,42.0
2025-06-01,48.0
2025-06-08,41.0
2025-06-15,41.0
2025-06-22,44.0
2025-06-29,38.0
2025-07-06,46.0
2025-07-13,43.0
2025-07-20,42.0
2025-07-27,38.0
2025-08-03,39.0
2025-08-10,42.0
2025-08-17,45.0
2025-08-24,42.0
2025-08-31,37.0
2025-09-07,33.0
2025-09-14,35.0
2025-09-21,40.0
2025-09-28,34.0
2025-10-05,37.0
2025-10-12,37.0
2025-10-19,41.0
2025-10-26,42.0
2025-11-02,47.0
2025-11-09,56.0
2025-11-16,40.0
2025-11-23,39.0
2025-11-30,41.0
2025-12-07,46.0
2025-12-14,
