date,beach
2008-01-01,58
2008-02-01,54
2008-03-01,55
2008-04-01,56
2008-05-01,53
2008-06-01,47
2008-07-01,67
2008-08-01,54
2008-09-01,46
2008-10-01,48
2008-11-01,51
2008-12-01,57
2009-01-01,47
2009-02-01,51
2009-03-01,55
2009-04-01,76
2009-05-01,65
2009-06-01,66
2009-07-01,90
2009-08-01,96
2009-09-01,100
2009-10-01,66
2009-11-01,68
2009-12-01,76
2010-01-01,61
2010-02-01,67
2010-03-01,62
2010-04-01,65
2010-05-01,57
2010-06-01,60
2010-07-01,67
2010-08-01,64
2010-09-01,67
2010-10-01,64
2010-11-01,58
2010-12-01,63
2011-01-01,60
2011-02-01,53
2011-03-01,44
2011-04-01,60
2011-05-01,56
2011-06-01,54
2011-07-01,59
2011-08-01,64
2011-09-01,61
2011-10-01,75
2011-11-01,62
2011-12-01,61
2012-01-01,65
2012-02-01,61
2012-03-01,54
2012-04-01,55
2012-05-01,56
2012-06-01,56
2012-07-01,58
2012-08-01,71
2012-09-01,56
2012-10-01,58
2012-11-01,54
2012-12-01,58
2013-01-01,59
2013-02-01,55
2013-03-01,55
2013-04-01,57
2013-05-01,56
2013-06-01,50
2013-07-01,58
2013-08-01,63
2013-09-01,54
2013-10-01,56
2013-11-01,54
2013-12-01,64
2014-01-01,65
2014-02-01,64
2014-03-01,55
2014-04-01,72
2014-05-01,52
2014-06-01,53
2014-07-01,57
2014-08-01,63
2014-09-01,57
2014-10-01,52
2014-11-01,51
2014-12-01,60
2015-01-01,57
2015-02-01,59
2015-03-01,57
2015-04-01,65
2015-05-01,54
2015-06-01,55
2015-07-01,58
2015-08-01,60
2015-09-01,55
2015-10-01,52
2015-11-01,55
2015-12-01,65
2016-01-01,60
2016-02-01,62
2016-03-01,57
2016-04-01,62
2016-05-01,48
2016-06-01,49
2016-07-01,56
2016-08-01,68
2016-09-01,52
2016-10-01,51
2016-11-01,52
2016-12-01,67
2017-01-01,64
2017-02-01,62
2017-03-01,58
2017-04-01,63
2017-05-01,46
2017-06-01,46
2017-07-01,56
2017-08-01,69
2017-09-01,53
2017-10-01,54
2017-11-01,56
2017-12-01,68
2018-01-01,72
2018-02-01,67
2018-03-01,67
2018-04-01,76
2018-05-01,51
2018-06-01,51
2018-07-01,65
2018-08-01,83
2018-09-01,66
2018-10-01,50
2018-11-01,61
2018-12-01,83
2019-01-01,83
2019-02-01,80
2019-03-01,77
2019-04-01,66
2019-05-01,41
2019-06-01,50
2019-07-01,58
2019-08-01,75
2019-09-01,60
2019-10-01,53
2019-11-01,62
2019-12-01,85
2020-01-01,78
2020-02-01,81
2020-03-01,47
2020-04-01,23
2020-05-01,27
2020-06-01,43
2020-07-01,52
2020-08-01,60
2020-09-01,50
2020-10-01,32
2020-11-01,27
2020-12-01,35
2021-01-01,42
2021-02-01,48
2021-03-01,58
2021-04-01,69
2021-05-01,26
2021-06-01,25
2021-07-01,36
2021-08-01,32
2021-09-01,27
2021-10-01,50
2021-11-01,59
2021-12-01,81
2022-01-01,79
2022-02-01,71
2022-03-01,64
2022-04-01,58
2022-05-01,45
2022-06-01,43
2022-07-01,37
2022-08-01,62
2022-09-01,60
2022-10-01,55
2022-11-01,56
2022-12-01,67
2023-01-01,59
2023-02-01,61
2023-03-01,58
2023-04-01,65
2023-05-01,58
2023-06-01,58
2023-07-01,70
2023-08-01,73
2023-09-01,58
2023-10-01,48
2023-11-01,59
2023-12-01,76
2024-01-01,76
2024-02-01,72
2024-03-01,67
2024-04-01,80
2024-05-01,61
2024-06-01,60
2024-07-01,70
2024-08-01,76
2024-09-01,70
2024-10-01,61
2024-11-01,59
2024-12-01,75
2025-01-01,75
2025-02-01,68
2025-03-01,63
2025-04-01,73
2025-05-01,56
2025-06-01,54
2025-07-01,68
2025-08-01,75
2025-09-01,60
2025-10-01,60
2025-11-01,64
