date,restaurants
2008-01-01,0
2008-02-01,29
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,22
2008-07-01,29
2008-08-01,21
2008-09-01,0
2008-10-01,16
2008-11-01,15
2008-12-01,17
2009-01-01,24
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,23
2009-06-01,13
2009-07-01,16
2009-08-01,21
2009-09-01,18
2009-10-01,13
2009-11-01,19
2009-12-01,15
2010-01-01,23
2010-02-01,16
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,19
2010-07-01,0
2010-08-01,14
2010-09-01,0
2010-10-01,24
2010-11-01,24
2010-12-01,25
2011-01-01,22
2011-02-01,14
2011-03-01,15
2011-04-01,17
2011-05-01,21
2011-06-01,17
2011-07-01,16
2011-08-01,23
2011-09-01,21
2011-10-01,24
2011-11-01,22
2011-12-01,25
2012-01-01,25
2012-02-01,22
2012-03-01,22
2012-04-01,23
2012-05-01,15
2012-06-01,27
2012-07-01,21
2012-08-01,23
2012-09-01,25
2012-10-01,26
2012-11-01,27
2012-12-01,27
2013-01-01,28
2013-02-01,27
2013-03-01,27
2013-04-01,25
2013-05-01,26
2013-06-01,24
2013-07-01,27
2013-08-01,29
2013-09-01,25
2013-10-01,21
2013-11-01,26
2013-12-01,30
2014-01-01,30
2014-02-01,29
2014-03-01,25
2014-04-01,30
2014-05-01,28
2014-06-01,24
2014-07-01,26
2014-08-01,27
2014-09-01,22
2014-10-01,29
2014-11-01,28
2014-12-01,32
2015-01-01,30
2015-02-01,33
2015-03-01,31
2015-04-01,30
2015-05-01,28
2015-06-01,30
2015-07-01,32
2015-08-01,34
2015-09-01,33
2015-10-01,31
2015-11-01,32
2015-12-01,44
2016-01-01,35
2016-02-01,35
2016-03-01,35
2016-04-01,34
2016-05-01,27
2016-06-01,28
2016-07-01,36
2016-08-01,35
2016-09-01,34
2016-10-01,34
2016-11-01,34
2016-12-01,52
2017-01-01,48
2017-02-01,41
2017-03-01,40
2017-04-01,47
2017-05-01,39
2017-06-01,38
2017-07-01,52
2017-08-01,53
2017-09-01,49
2017-10-01,46
2017-11-01,49
2017-12-01,72
2018-01-01,68
2018-02-01,65
2018-03-01,63
2018-04-01,72
2018-05-01,65
2018-06-01,73
2018-07-01,96
2018-08-01,81
2018-09-01,74
2018-10-01,60
2018-11-01,68
2018-12-01,93
2019-01-01,85
2019-02-01,78
2019-03-01,75
2019-04-01,65
2019-05-01,38
2019-06-01,50
2019-07-01,59
2019-08-01,72
2019-09-01,67
2019-10-01,62
2019-11-01,62
2019-12-01,93
2020-01-01,83
2020-02-01,81
2020-03-01,40
2020-04-01,16
2020-05-01,18
2020-06-01,40
2020-07-01,45
2020-08-01,52
2020-09-01,55
2020-10-01,30
2020-11-01,24
2020-12-01,39
2021-01-01,44
2021-02-01,52
2021-03-01,58
2021-04-01,61
2021-05-01,25
2021-06-01,26
2021-07-01,42
2021-08-01,30
2021-09-01,26
2021-10-01,54
2021-11-01,71
2021-12-01,100
2022-01-01,83
2022-02-01,82
2022-03-01,75
2022-04-01,68
2022-05-01,53
2022-06-01,53
2022-07-01,47
2022-08-01,69
2022-09-01,65
2022-10-01,63
2022-11-01,61
2022-12-01,78
2023-01-01,67
2023-02-01,73
2023-03-01,65
2023-04-01,73
2023-05-01,65
2023-06-01,69
2023-07-01,75
2023-08-01,82
2023-09-01,67
2023-10-01,55
2023-11-01,65
2023-12-01,90
2024-01-01,76
2024-02-01,74
2024-03-01,67
2024-04-01,73
2024-05-01,62
2024-06-01,60
2024-07-01,63
2024-08-01,73
2024-09-01,61
2024-10-01,61
2024-11-01,64
2024-12-01,91
2025-01-01,75
2025-02-01,73
2025-03-01,67
2025-04-01,71
2025-05-01,53
2025-06-01,57
2025-07-01,65
2025-08-01,75
2025-09-01,57
2025-10-01,57
2025-11-01,59
