,Bentota_hotel
2014-12-28,85
2015-01-04,37
2015-01-11,40
2015-01-18,56
2015-01-25,65
2015-02-01,48
2015-02-08,49
2015-02-15,61
2015-02-22,49
2015-03-01,74
2015-03-08,55
2015-03-15,62
2015-03-22,49
2015-03-29,76
2015-04-05,98
2015-04-12,98
2015-04-19,61
2015-04-26,89
2015-05-03,57
2015-05-10,61
2015-05-17,48
2015-05-24,50
2015-05-31,49
2015-06-07,76
2015-06-14,62
2015-06-21,84
2015-06-28,67
2015-07-05,65
2015-07-12,61
2015-07-19,55
2015-07-26,71
2015-08-02,64
2015-08-09,67
2015-08-16,60
2015-08-23,66
2015-08-30,53
2015-09-06,56
2015-09-13,51
2015-09-20,79
2015-09-27,44
2015-10-04,62
2015-10-11,47
2015-10-18,47
2015-10-25,60
2015-11-01,52
2015-11-08,54
2015-11-15,58
2015-11-22,53
2015-11-29,61
2015-12-06,54
2015-12-13,78
2015-12-20,100
2015-12-27,79
2016-01-03,64
2016-01-10,50
2016-01-17,35
2016-01-24,47
2016-01-31,37
2016-02-07,53
2016-02-14,50
2016-02-21,45
2016-02-28,30
2016-03-06,47
2016-03-13,34
2016-03-20,47
2016-03-27,60
2016-04-03,59
2016-04-10,77
2016-04-17,58
2016-04-24,57
2016-05-01,54
2016-05-08,49
2016-05-15,36
2016-05-22,35
2016-05-29,36
2016-06-05,38
2016-06-12,39
2016-06-19,31
2016-06-26,56
2016-07-03,62
2016-07-10,43
2016-07-17,37
2016-07-24,41
2016-07-31,48
2016-08-07,57
2016-08-14,57
2016-08-21,50
2016-08-28,25
2016-09-04,49
2016-09-11,69
2016-09-18,38
2016-09-25,46
2016-10-02,28
2016-10-09,36
2016-10-16,42
2016-10-23,49
2016-10-30,36
2016-11-06,52
2016-11-13,45
2016-11-20,56
2016-11-27,53
2016-12-04,62
2016-12-11,45
2016-12-18,54
2016-12-25,47
2017-01-01,33
2017-01-08,50
2017-01-15,36
2017-01-22,36
2017-01-29,45
2017-02-05,60
2017-02-12,38
2017-02-19,37
2017-02-26,40
2017-03-05,45
2017-03-12,48
2017-03-19,38
2017-03-26,48
2017-04-02,63
2017-04-09,68
2017-04-16,59
2017-04-23,33
2017-04-30,33
2017-05-07,29
2017-05-14,27
2017-05-21,26
2017-05-28,18
2017-06-04,26
2017-06-11,28
2017-06-18,27
2017-06-25,25
2017-07-02,25
2017-07-09,35
2017-07-16,22
2017-07-23,30
2017-07-30,50
2017-08-06,46
2017-08-13,58
2017-08-20,50
2017-08-27,49
2017-09-03,47
2017-09-10,38
2017-09-17,36
2017-09-24,25
2017-10-01,46
2017-10-08,43
2017-10-15,35
2017-10-22,29
2017-10-29,44
2017-11-05,32
2017-11-12,35
2017-11-19,26
2017-11-26,38
2017-12-03,35
2017-12-10,35
2017-12-17,53
2017-12-24,41
2017-12-31,55
2018-01-07,44
2018-01-14,42
2018-01-21,39
2018-01-28,40
2018-02-04,40
2018-02-11,43
2018-02-18,35
2018-02-25,58
2018-03-04,38
2018-03-11,41
2018-03-18,46
2018-03-25,28
2018-04-01,41
2018-04-08,52
2018-04-15,62
2018-04-22,33
2018-04-29,40
2018-05-06,35
2018-05-13,32
2018-05-20,20
2018-05-27,31
2018-06-03,40
2018-06-10,30
2018-06-17,31
2018-06-24,23
2018-07-01,38
2018-07-08,32
2018-07-15,48
2018-07-22,55
2018-07-29,47
2018-08-05,53
2018-08-12,50
2018-08-19,50
2018-08-26,32
2018-09-02,41
2018-09-09,45
2018-09-16,41
2018-09-23,34
2018-09-30,0
2018-10-07,22
2018-10-14,38
2018-10-21,39
2018-10-28,21
2018-11-04,31
2018-11-11,35
2018-11-18,28
2018-11-25,44
2018-12-02,44
2018-12-09,37
2018-12-16,48
2018-12-23,61
2018-12-30,46
2019-01-06,41
2019-01-13,47
2019-01-20,33
2019-01-27,43
2019-02-03,39
2019-02-10,34
2019-02-17,30
2019-02-24,29
2019-03-03,32
2019-03-10,25
2019-03-17,53
2019-03-24,40
2019-03-31,37
2019-04-07,44
2019-04-14,46
2019-04-21,13
2019-04-28,0
2019-05-05,16
2019-05-12,25
2019-05-19,39
2019-05-26,46
2019-06-02,34
2019-06-09,35
2019-06-16,44
2019-06-23,38
2019-06-30,31
2019-07-07,35
2019-07-14,37
2019-07-21,28
2019-07-28,45
2019-08-04,48
2019-08-11,56
2019-08-18,50
2019-08-25,46
2019-09-01,27
2019-09-08,58
2019-09-15,23
2019-09-22,24
2019-09-29,32
2019-10-06,34
2019-10-13,48
2019-10-20,39
2019-10-27,49
2019-11-03,53
2019-11-10,34
2019-11-17,43
2019-11-24,38
2019-12-01,41
2019-12-08,34
2019-12-15,55
2019-12-22,65
2019-12-29,47
2020-01-05,47
