date,motorcycle_price_Sri_Lanka
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,43
2015-06-01,0
2015-07-01,0
2015-08-01,42
2015-09-01,41
2015-10-01,34
2015-11-01,0
2015-12-01,0
2016-01-01,34
2016-02-01,0
2016-03-01,0
2016-04-01,35
2016-05-01,0
2016-06-01,35
2016-07-01,30
2016-08-01,46
2016-09-01,42
2016-10-01,52
2016-11-01,57
2016-12-01,36
2017-01-01,36
2017-02-01,39
2017-03-01,39
2017-04-01,55
2017-05-01,45
2017-06-01,0
2017-07-01,61
2017-08-01,100
2017-09-01,30
2017-10-01,51
2017-11-01,44
2017-12-01,47
2018-01-01,34
2018-02-01,33
2018-03-01,46
2018-04-01,42
2018-05-01,36
2018-06-01,44
2018-07-01,49
2018-08-01,47
2018-09-01,32
2018-10-01,50
2018-11-01,44
2018-12-01,47
2019-01-01,48
2019-02-01,53
2019-03-01,37
2019-04-01,45
2019-05-01,53
2019-06-01,48
2019-07-01,61
2019-08-01,57
2019-09-01,48
2019-10-01,56
2019-11-01,57
2019-12-01,60
2020-01-01,74
2020-02-01,43
2020-03-01,50
2020-04-01,52
2020-05-01,52
2020-06-01,62
2020-07-01,86
2020-08-01,81
2020-09-01,67
2020-10-01,64
2020-11-01,79
2020-12-01,58
2021-01-01,74
2021-02-01,69
2021-03-01,63
2021-04-01,86
2021-05-01,56
2021-06-01,55
2021-07-01,62
2021-08-01,72
2021-09-01,60
2021-10-01,55
2021-11-01,77
2021-12-01,67
2022-01-01,78
2022-02-01,90
2022-03-01,62
2022-04-01,84
2022-05-01,95
2022-06-01,81
2022-07-01,66
2022-08-01,67
2022-09-01,70
2022-10-01,29
2022-11-01,69
2022-12-01,74
2023-01-01,50
2023-02-01,65
2023-03-01,57
2023-04-01,66
2023-05-01,75
2023-06-01,82
2023-07-01,88
2023-08-01,89
2023-09-01,81
2023-10-01,64
2023-11-01,90
2023-12-01,80
2024-01-01,75
2024-02-01,70
2024-03-01,58
2024-04-01,54
2024-05-01,48
2024-06-01,39
2024-07-01,71
2024-08-01,81
2024-09-01,72
2024-10-01,64
2024-11-01,80
2024-12-01,64
2025-01-01,45
2025-02-01,60
2025-03-01,63
2025-04-01,70
2025-05-01,45
2025-06-01,65
2025-07-01,91
2025-08-01,67
2025-09-01,70
2025-10-01,68
2025-11-01,94
