date,gas_price_Sri_Lanka
2015-01-01,13
2015-02-01,14
2015-03-01,13
2015-04-01,8
2015-05-01,8
2015-06-01,12
2015-07-01,13
2015-08-01,9
2015-09-01,8
2015-10-01,9
2015-11-01,15
2015-12-01,11
2016-01-01,10
2016-02-01,8
2016-03-01,12
2016-04-01,11
2016-05-01,12
2016-06-01,9
2016-07-01,7
2016-08-01,6
2016-09-01,9
2016-10-01,9
2016-11-01,7
2016-12-01,11
2017-01-01,11
2017-02-01,11
2017-03-01,10
2017-04-01,11
2017-05-01,12
2017-06-01,11
2017-07-01,8
2017-08-01,9
2017-09-01,18
2017-10-01,15
2017-11-01,15
2017-12-01,10
2018-01-01,13
2018-02-01,13
2018-03-01,13
2018-04-01,14
2018-05-01,24
2018-06-01,22
2018-07-01,24
2018-08-01,17
2018-09-01,31
2018-10-01,29
2018-11-01,29
2018-12-01,17
2019-01-01,25
2019-02-01,16
2019-03-01,20
2019-04-01,23
2019-05-01,20
2019-06-01,20
2019-07-01,22
2019-08-01,27
2019-09-01,36
2019-10-01,37
2019-11-01,36
2019-12-01,28
2020-01-01,26
2020-02-01,30
2020-03-01,37
2020-04-01,31
2020-05-01,43
2020-06-01,42
2020-07-01,37
2020-08-01,38
2020-09-01,45
2020-10-01,38
2020-11-01,40
2020-12-01,47
2021-01-01,44
2021-02-01,42
2021-03-01,40
2021-04-01,44
2021-05-01,44
2021-06-01,53
2021-07-01,52
2021-08-01,74
2021-09-01,57
2021-10-01,74
2021-11-01,91
2021-12-01,67
2022-01-01,54
2022-02-01,50
2022-03-01,100
2022-04-01,71
2022-05-01,72
2022-06-01,72
2022-07-01,60
2022-08-01,67
2022-09-01,60
2022-10-01,70
2022-11-01,62
2022-12-01,65
2023-01-01,62
2023-02-01,58
2023-03-01,58
2023-04-01,86
2023-05-01,73
2023-06-01,89
2023-07-01,90
2023-08-01,74
2023-09-01,77
2023-10-01,80
2023-11-01,88
2023-12-01,79
2024-01-01,72
2024-02-01,62
2024-03-01,58
2024-04-01,65
2024-05-01,74
2024-06-01,71
2024-07-01,73
2024-08-01,70
2024-09-01,65
2024-10-01,70
2024-11-01,76
2024-12-01,63
2025-01-01,58
2025-02-01,49
2025-03-01,48
2025-04-01,58
2025-05-01,51
2025-06-01,59
2025-07-01,52
2025-08-01,55
2025-09-01,52
2025-10-01,54
2025-11-01,65
