date,land_for_sale
2015-01-01,27
2015-02-01,35
2015-03-01,30
2015-04-01,35
2015-05-01,43
2015-06-01,45
2015-07-01,42
2015-08-01,41
2015-09-01,41
2015-10-01,39
2015-11-01,38
2015-12-01,35
2016-01-01,38
2016-02-01,43
2016-03-01,38
2016-04-01,42
2016-05-01,41
2016-06-01,38
2016-07-01,43
2016-08-01,41
2016-09-01,43
2016-10-01,41
2016-11-01,40
2016-12-01,37
2017-01-01,48
2017-02-01,49
2017-03-01,45
2017-04-01,43
2017-05-01,44
2017-06-01,42
2017-07-01,45
2017-08-01,42
2017-09-01,48
2017-10-01,46
2017-11-01,50
2017-12-01,36
2018-01-01,49
2018-02-01,50
2018-03-01,48
2018-04-01,43
2018-05-01,55
2018-06-01,51
2018-07-01,55
2018-08-01,53
2018-09-01,52
2018-10-01,47
2018-11-01,50
2018-12-01,43
2019-01-01,52
2019-02-01,56
2019-03-01,54
2019-04-01,43
2019-05-01,49
2019-06-01,52
2019-07-01,52
2019-08-01,52
2019-09-01,56
2019-10-01,48
2019-11-01,47
2019-12-01,50
2020-01-01,56
2020-02-01,64
2020-03-01,51
2020-04-01,45
2020-05-01,58
2020-06-01,88
2020-07-01,98
2020-08-01,100
2020-09-01,93
2020-10-01,79
2020-11-01,75
2020-12-01,86
2021-01-01,91
2021-02-01,97
2021-03-01,90
2021-04-01,87
2021-05-01,70
2021-06-01,68
2021-07-01,88
2021-08-01,86
2021-09-01,84
2021-10-01,72
2021-11-01,67
2021-12-01,62
2022-01-01,76
2022-02-01,79
2022-03-01,67
2022-04-01,49
2022-05-01,47
2022-06-01,39
2022-07-01,32
2022-08-01,38
2022-09-01,38
2022-10-01,36
2022-11-01,34
2022-12-01,34
2023-01-01,38
2023-02-01,38
2023-03-01,37
2023-04-01,35
2023-05-01,40
2023-06-01,37
2023-07-01,38
2023-08-01,38
2023-09-01,32
2023-10-01,30
2023-11-01,32
2023-12-01,36
2024-01-01,38
2024-02-01,35
2024-03-01,33
2024-04-01,34
2024-05-01,34
2024-06-01,33
2024-07-01,32
2024-08-01,28
2024-09-01,27
2024-10-01,31
2024-11-01,32
2024-12-01,30
2025-01-01,34
2025-02-01,37
2025-03-01,32
2025-04-01,33
2025-05-01,35
2025-06-01,37
2025-07-01,35
2025-08-01,37
2025-09-01,37
2025-10-01,35
2025-11-01,35
