date,Uber_Sri_Lanka
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,3
2015-10-01,12
2015-11-01,12
2015-12-01,12
2016-01-01,12
2016-02-01,11
2016-03-01,10
2016-04-01,10
2016-05-01,17
2016-06-01,12
2016-07-01,13
2016-08-01,16
2016-09-01,23
2016-10-01,25
2016-11-01,28
2016-12-01,37
2017-01-01,39
2017-02-01,33
2017-03-01,30
2017-04-01,29
2017-05-01,34
2017-06-01,30
2017-07-01,34
2017-08-01,29
2017-09-01,29
2017-10-01,39
2017-11-01,41
2017-12-01,36
2018-01-01,34
2018-02-01,37
2018-03-01,38
2018-04-01,33
2018-05-01,41
2018-06-01,43
2018-07-01,42
2018-08-01,44
2018-09-01,58
2018-10-01,59
2018-11-01,66
2018-12-01,70
2019-01-01,87
2019-02-01,81
2019-03-01,74
2019-04-01,67
2019-05-01,78
2019-06-01,75
2019-07-01,100
2019-08-01,92
2019-09-01,92
2019-10-01,85
2019-11-01,84
2019-12-01,78
2020-01-01,71
2020-02-01,74
2020-03-01,58
2020-04-01,17
2020-05-01,36
2020-06-01,52
2020-07-01,56
2020-08-01,53
2020-09-01,67
2020-10-01,44
2020-11-01,38
2020-12-01,41
2021-01-01,44
2021-02-01,50
2021-03-01,51
2021-04-01,44
2021-05-01,38
2021-06-01,50
2021-07-01,36
2021-08-01,35
2021-09-01,36
2021-10-01,37
2021-11-01,35
2021-12-01,44
2022-01-01,36
2022-02-01,36
2022-03-01,38
2022-04-01,31
2022-05-01,28
2022-06-01,24
2022-07-01,15
2022-08-01,24
2022-09-01,28
2022-10-01,23
2022-11-01,27
2022-12-01,24
2023-01-01,25
2023-02-01,27
2023-03-01,27
2023-04-01,27
2023-05-01,27
2023-06-01,30
2023-07-01,30
2023-08-01,31
2023-09-01,26
2023-10-01,30
2023-11-01,31
2023-12-01,32
2024-01-01,31
2024-02-01,27
2024-03-01,28
2024-04-01,27
2024-05-01,28
2024-06-01,27
2024-07-01,26
2024-08-01,29
2024-09-01,26
2024-10-01,30
2024-11-01,30
2024-12-01,30
2025-01-01,27
2025-02-01,32
2025-03-01,28
2025-04-01,29
2025-05-01,25
2025-06-01,27
2025-07-01,27
2025-08-01,31
2025-09-01,29
2025-10-01,31
2025-11-01,33
2025-12-01,29
