date,loan_calculator_Sri_Lanka
2015-01-01,65
2015-02-01,58
2015-03-01,71
2015-04-01,49
2015-05-01,34
2015-06-01,66
2015-07-01,33
2015-08-01,51
2015-09-01,67
2015-10-01,64
2015-11-01,41
2015-12-01,35
2016-01-01,26
2016-02-01,38
2016-03-01,35
2016-04-01,28
2016-05-01,31
2016-06-01,35
2016-07-01,25
2016-08-01,32
2016-09-01,34
2016-10-01,40
2016-11-01,42
2016-12-01,30
2017-01-01,35
2017-02-01,40
2017-03-01,37
2017-04-01,40
2017-05-01,56
2017-06-01,41
2017-07-01,31
2017-08-01,58
2017-09-01,43
2017-10-01,50
2017-11-01,64
2017-12-01,38
2018-01-01,40
2018-02-01,68
2018-03-01,45
2018-04-01,47
2018-05-01,51
2018-06-01,47
2018-07-01,68
2018-08-01,34
2018-09-01,42
2018-10-01,35
2018-11-01,41
2018-12-01,30
2019-01-01,49
2019-02-01,50
2019-03-01,44
2019-04-01,42
2019-05-01,45
2019-06-01,46
2019-07-01,43
2019-08-01,47
2019-09-01,39
2019-10-01,31
2019-11-01,39
2019-12-01,46
2020-01-01,61
2020-02-01,55
2020-03-01,29
2020-04-01,21
2020-05-01,34
2020-06-01,57
2020-07-01,100
2020-08-01,73
2020-09-01,93
2020-10-01,58
2020-11-01,49
2020-12-01,56
2021-01-01,73
2021-02-01,62
2021-03-01,50
2021-04-01,47
2021-05-01,32
2021-06-01,42
2021-07-01,44
2021-08-01,38
2021-09-01,28
2021-10-01,31
2021-11-01,35
2021-12-01,29
2022-01-01,50
2022-02-01,50
2022-03-01,44
2022-04-01,42
2022-05-01,28
2022-06-01,30
2022-07-01,23
2022-08-01,25
2022-09-01,31
2022-10-01,32
2022-11-01,25
2022-12-01,20
2023-01-01,28
2023-02-01,22
2023-03-01,33
2023-04-01,33
2023-05-01,33
2023-06-01,43
2023-07-01,50
2023-08-01,47
2023-09-01,39
2023-10-01,45
2023-11-01,36
2023-12-01,38
2024-01-01,33
2024-02-01,33
2024-03-01,30
2024-04-01,45
2024-05-01,49
2024-06-01,30
2024-07-01,50
2024-08-01,37
2024-09-01,24
2024-10-01,34
2024-11-01,33
2024-12-01,36
2025-01-01,33
2025-02-01,57
2025-03-01,44
2025-04-01,56
2025-05-01,71
2025-06-01,55
2025-07-01,64
2025-08-01,64
2025-09-01,55
2025-10-01,66
2025-11-01,68
