date,Bentota_hotel
2015-01-01,63
2015-02-01,70
2015-03-01,68
2015-04-01,100
2015-05-01,65
2015-06-01,78
2015-07-01,81
2015-08-01,79
2015-09-01,70
2015-10-01,71
2015-11-01,69
2015-12-01,86
2016-01-01,64
2016-02-01,55
2016-03-01,56
2016-04-01,71
2016-05-01,53
2016-06-01,50
2016-07-01,56
2016-08-01,62
2016-09-01,59
2016-10-01,45
2016-11-01,60
2016-12-01,62
2017-01-01,56
2017-02-01,49
2017-03-01,55
2017-04-01,63
2017-05-01,39
2017-06-01,32
2017-07-01,33
2017-08-01,63
2017-09-01,44
2017-10-01,48
2017-11-01,43
2017-12-01,53
2018-01-01,50
2018-02-01,50
2018-03-01,46
2018-04-01,57
2018-05-01,43
2018-06-01,34
2018-07-01,50
2018-08-01,57
2018-09-01,46
2018-10-01,37
2018-11-01,43
2018-12-01,58
2019-01-01,48
2019-02-01,41
2019-03-01,43
2019-04-01,38
2019-05-01,35
2019-06-01,46
2019-07-01,44
2019-08-01,61
2019-09-01,41
2019-10-01,48
2019-11-01,51
2019-12-01,62
2020-01-01,49
2020-02-01,46
2020-03-01,23
2020-04-01,4
2020-05-01,4
2020-06-01,30
2020-07-01,42
2020-08-01,38
2020-09-01,34
2020-10-01,12
2020-11-01,9
2020-12-01,18
2021-01-01,15
2021-02-01,21
2021-03-01,23
2021-04-01,34
2021-05-01,4
2021-06-01,0
2021-07-01,8
2021-08-01,6
2021-09-01,0
2021-10-01,21
2021-11-01,28
2021-12-01,38
2022-01-01,35
2022-02-01,30
2022-03-01,31
2022-04-01,31
2022-05-01,21
2022-06-01,20
2022-07-01,19
2022-08-01,50
2022-09-01,47
2022-10-01,30
2022-11-01,32
2022-12-01,41
2023-01-01,28
2023-02-01,31
2023-03-01,27
2023-04-01,34
2023-05-01,32
2023-06-01,33
2023-07-01,41
2023-08-01,37
2023-09-01,28
2023-10-01,23
2023-11-01,30
2023-12-01,47
2024-01-01,41
2024-02-01,33
2024-03-01,28
2024-04-01,30
2024-05-01,30
2024-06-01,31
2024-07-01,34
2024-08-01,42
2024-09-01,32
2024-10-01,27
2024-11-01,32
2024-12-01,37
2025-01-01,33
2025-02-01,27
2025-03-01,25
2025-04-01,33
2025-05-01,24
2025-06-01,25
2025-07-01,32
2025-08-01,37
2025-09-01,28
2025-10-01,35
2025-11-01,35
2025-12-01,33
