date,CV_format
2015-01-01,47
2015-02-01,44
2015-03-01,49
2015-04-01,34
2015-05-01,44
2015-06-01,45
2015-07-01,42
2015-08-01,40
2015-09-01,61
2015-10-01,44
2015-11-01,44
2015-12-01,45
2016-01-01,50
2016-02-01,39
2016-03-01,34
2016-04-01,29
2016-05-01,27
2016-06-01,38
2016-07-01,31
2016-08-01,34
2016-09-01,45
2016-10-01,38
2016-11-01,44
2016-12-01,37
2017-01-01,55
2017-02-01,35
2017-03-01,35
2017-04-01,27
2017-05-01,38
2017-06-01,33
2017-07-01,36
2017-08-01,42
2017-09-01,50
2017-10-01,43
2017-11-01,49
2017-12-01,34
2018-01-01,53
2018-02-01,39
2018-03-01,40
2018-04-01,32
2018-05-01,44
2018-06-01,41
2018-07-01,47
2018-08-01,42
2018-09-01,53
2018-10-01,41
2018-11-01,37
2018-12-01,34
2019-01-01,56
2019-02-01,50
2019-03-01,40
2019-04-01,26
2019-05-01,40
2019-06-01,48
2019-07-01,49
2019-08-01,46
2019-09-01,60
2019-10-01,48
2019-11-01,41
2019-12-01,49
2020-01-01,65
2020-02-01,50
2020-03-01,22
2020-04-01,10
2020-05-01,26
2020-06-01,35
2020-07-01,36
2020-08-01,42
2020-09-01,60
2020-10-01,34
2020-11-01,35
2020-12-01,42
2021-01-01,45
2021-02-01,39
2021-03-01,45
2021-04-01,31
2021-05-01,37
2021-06-01,28
2021-07-01,38
2021-08-01,35
2021-09-01,33
2021-10-01,41
2021-11-01,42
2021-12-01,40
2022-01-01,52
2022-02-01,56
2022-03-01,65
2022-04-01,48
2022-05-01,69
2022-06-01,100
2022-07-01,63
2022-08-01,74
2022-09-01,81
2022-10-01,67
2022-11-01,65
2022-12-01,60
2023-01-01,67
2023-02-01,91
2023-03-01,76
2023-04-01,56
2023-05-01,68
2023-06-01,64
2023-07-01,58
2023-08-01,60
2023-09-01,62
2023-10-01,51
2023-11-01,52
2023-12-01,52
2024-01-01,61
2024-02-01,60
2024-03-01,51
2024-04-01,39
2024-05-01,44
2024-06-01,46
2024-07-01,44
2024-08-01,36
2024-09-01,34
2024-10-01,38
2024-11-01,32
2024-12-01,31
2025-01-01,40
2025-02-01,32
2025-03-01,28
2025-04-01,25
2025-05-01,33
2025-06-01,30
2025-07-01,32
2025-08-01,28
2025-09-01,26
2025-10-01,25
2025-11-01,26
