date,air_ticket_price_Sri_Lanka
2015-01-01,19
2015-02-01,0
2015-03-01,18
2015-04-01,30
2015-05-01,24
2015-06-01,24
2015-07-01,17
2015-08-01,22
2015-09-01,21
2015-10-01,38
2015-11-01,22
2015-12-01,19
2016-01-01,20
2016-02-01,20
2016-03-01,18
2016-04-01,24
2016-05-01,29
2016-06-01,19
2016-07-01,34
2016-08-01,30
2016-09-01,30
2016-10-01,20
2016-11-01,27
2016-12-01,24
2017-01-01,23
2017-02-01,25
2017-03-01,36
2017-04-01,31
2017-05-01,37
2017-06-01,29
2017-07-01,24
2017-08-01,35
2017-09-01,31
2017-10-01,24
2017-11-01,38
2017-12-01,33
2018-01-01,36
2018-02-01,39
2018-03-01,37
2018-04-01,35
2018-05-01,45
2018-06-01,32
2018-07-01,33
2018-08-01,45
2018-09-01,46
2018-10-01,45
2018-11-01,44
2018-12-01,40
2019-01-01,45
2019-02-01,54
2019-03-01,42
2019-04-01,47
2019-05-01,42
2019-06-01,51
2019-07-01,53
2019-08-01,57
2019-09-01,56
2019-10-01,46
2019-11-01,56
2019-12-01,52
2020-01-01,32
2020-02-01,40
2020-03-01,13
2020-04-01,10
2020-05-01,14
2020-06-01,21
2020-07-01,11
2020-08-01,19
2020-09-01,16
2020-10-01,14
2020-11-01,13
2020-12-01,16
2021-01-01,17
2021-02-01,19
2021-03-01,18
2021-04-01,17
2021-05-01,16
2021-06-01,22
2021-07-01,26
2021-08-01,27
2021-09-01,32
2021-10-01,36
2021-11-01,49
2021-12-01,38
2022-01-01,41
2022-02-01,49
2022-03-01,70
2022-04-01,68
2022-05-01,65
2022-06-01,83
2022-07-01,82
2022-08-01,100
2022-09-01,81
2022-10-01,83
2022-11-01,73
2022-12-01,62
2023-01-01,63
2023-02-01,77
2023-03-01,96
2023-04-01,66
2023-05-01,61
2023-06-01,73
2023-07-01,70
2023-08-01,88
2023-09-01,63
2023-10-01,60
2023-11-01,63
2023-12-01,74
2024-01-01,68
2024-02-01,53
2024-03-01,52
2024-04-01,43
2024-05-01,44
2024-06-01,41
2024-07-01,54
2024-08-01,43
2024-09-01,46
2024-10-01,42
2024-11-01,37
2024-12-01,44
2025-01-01,39
2025-02-01,44
2025-03-01,30
2025-04-01,44
2025-05-01,36
2025-06-01,44
2025-07-01,51
2025-08-01,42
2025-09-01,38
2025-10-01,41
2025-11-01,39
