date,Sri_Lanka_visa
2015-01-01,55
2015-02-01,58
2015-03-01,55
2015-04-01,58
2015-05-01,54
2015-06-01,58
2015-07-01,45
2015-08-01,51
2015-09-01,50
2015-10-01,51
2015-11-01,51
2015-12-01,45
2016-01-01,47
2016-02-01,51
2016-03-01,55
2016-04-01,50
2016-05-01,53
2016-06-01,52
2016-07-01,46
2016-08-01,50
2016-09-01,49
2016-10-01,49
2016-11-01,49
2016-12-01,44
2017-01-01,51
2017-02-01,63
2017-03-01,61
2017-04-01,52
2017-05-01,53
2017-06-01,53
2017-07-01,51
2017-08-01,62
2017-09-01,53
2017-10-01,58
2017-11-01,56
2017-12-01,47
2018-01-01,62
2018-02-01,61
2018-03-01,66
2018-04-01,57
2018-05-01,62
2018-06-01,55
2018-07-01,69
2018-08-01,64
2018-09-01,61
2018-10-01,67
2018-11-01,62
2018-12-01,57
2019-01-01,66
2019-02-01,64
2019-03-01,65
2019-04-01,61
2019-05-01,83
2019-06-01,62
2019-07-01,71
2019-08-01,69
2019-09-01,73
2019-10-01,60
2019-11-01,61
2019-12-01,57
2020-01-01,61
2020-02-01,59
2020-03-01,33
2020-04-01,14
2020-05-01,20
2020-06-01,23
2020-07-01,20
2020-08-01,19
2020-09-01,18
2020-10-01,16
2020-11-01,19
2020-12-01,19
2021-01-01,22
2021-02-01,22
2021-03-01,27
2021-04-01,24
2021-05-01,23
2021-06-01,31
2021-07-01,34
2021-08-01,38
2021-09-01,45
2021-10-01,43
2021-11-01,49
2021-12-01,46
2022-01-01,57
2022-02-01,61
2022-03-01,76
2022-04-01,77
2022-05-01,90
2022-06-01,100
2022-07-01,84
2022-08-01,84
2022-09-01,77
2022-10-01,74
2022-11-01,72
2022-12-01,63
2023-01-01,75
2023-02-01,80
2023-03-01,73
2023-04-01,63
2023-05-01,78
2023-06-01,74
2023-07-01,77
2023-08-01,76
2023-09-01,73
2023-10-01,69
2023-11-01,64
2023-12-01,66
2024-01-01,76
2024-02-01,78
2024-03-01,59
2024-04-01,67
2024-05-01,69
2024-06-01,61
2024-07-01,63
2024-08-01,69
2024-09-01,63
2024-10-01,56
2024-11-01,55
2024-12-01,54
2025-01-01,65
2025-02-01,61
2025-03-01,55
2025-04-01,53
2025-05-01,52
2025-06-01,52
2025-07-01,62
2025-08-01,55
2025-09-01,50
2025-10-01,52
2025-11-01,53
2025-12-01,45
