date,house_for_sale
2015-01-01,32
2015-02-01,35
2015-03-01,37
2015-04-01,35
2015-05-01,48
2015-06-01,82
2015-07-01,45
2015-08-01,41
2015-09-01,47
2015-10-01,44
2015-11-01,36
2015-12-01,40
2016-01-01,44
2016-02-01,53
2016-03-01,57
2016-04-01,52
2016-05-01,51
2016-06-01,54
2016-07-01,55
2016-08-01,50
2016-09-01,51
2016-10-01,53
2016-11-01,56
2016-12-01,49
2017-01-01,54
2017-02-01,51
2017-03-01,49
2017-04-01,45
2017-05-01,53
2017-06-01,45
2017-07-01,51
2017-08-01,50
2017-09-01,54
2017-10-01,59
2017-11-01,53
2017-12-01,46
2018-01-01,57
2018-02-01,58
2018-03-01,47
2018-04-01,50
2018-05-01,64
2018-06-01,62
2018-07-01,63
2018-08-01,64
2018-09-01,64
2018-10-01,62
2018-11-01,56
2018-12-01,49
2019-01-01,59
2019-02-01,63
2019-03-01,64
2019-04-01,49
2019-05-01,61
2019-06-01,62
2019-07-01,71
2019-08-01,65
2019-09-01,71
2019-10-01,62
2019-11-01,67
2019-12-01,60
2020-01-01,72
2020-02-01,84
2020-03-01,57
2020-04-01,38
2020-05-01,56
2020-06-01,92
2020-07-01,100
2020-08-01,99
2020-09-01,96
2020-10-01,79
2020-11-01,68
2020-12-01,82
2021-01-01,94
2021-02-01,98
2021-03-01,89
2021-04-01,86
2021-05-01,74
2021-06-01,63
2021-07-01,86
2021-08-01,79
2021-09-01,88
2021-10-01,84
2021-11-01,90
2021-12-01,84
2022-01-01,91
2022-02-01,96
2022-03-01,90
2022-04-01,76
2022-05-01,66
2022-06-01,65
2022-07-01,53
2022-08-01,63
2022-09-01,57
2022-10-01,55
2022-11-01,55
2022-12-01,49
2023-01-01,56
2023-02-01,60
2023-03-01,55
2023-04-01,51
2023-05-01,55
2023-06-01,53
2023-07-01,56
2023-08-01,55
2023-09-01,45
2023-10-01,44
2023-11-01,50
2023-12-01,50
2024-01-01,50
2024-02-01,45
2024-03-01,42
2024-04-01,36
2024-05-01,43
2024-06-01,39
2024-07-01,36
2024-08-01,38
2024-09-01,30
2024-10-01,34
2024-11-01,35
2024-12-01,33
2025-01-01,35
2025-02-01,36
2025-03-01,34
2025-04-01,38
2025-05-01,41
2025-06-01,37
2025-07-01,34
2025-08-01,41
2025-09-01,36
2025-10-01,36
2025-11-01,37
