date,shipping_tracking
2015-01-01,52
2015-02-01,66
2015-03-01,81
2015-04-01,61
2015-05-01,47
2015-06-01,94
2015-07-01,61
2015-08-01,46
2015-09-01,56
2015-10-01,40
2015-11-01,51
2015-12-01,69
2016-01-01,67
2016-02-01,48
2016-03-01,71
2016-04-01,63
2016-05-01,38
2016-06-01,51
2016-07-01,40
2016-08-01,54
2016-09-01,45
2016-10-01,36
2016-11-01,42
2016-12-01,67
2017-01-01,79
2017-02-01,52
2017-03-01,35
2017-04-01,51
2017-05-01,0
2017-06-01,52
2017-07-01,59
2017-08-01,57
2017-09-01,61
2017-10-01,60
2017-11-01,80
2017-12-01,58
2018-01-01,84
2018-02-01,53
2018-03-01,78
2018-04-01,0
2018-05-01,100
2018-06-01,71
2018-07-01,57
2018-08-01,61
2018-09-01,54
2018-10-01,82
2018-11-01,70
2018-12-01,37
2019-01-01,41
2019-02-01,50
2019-03-01,36
2019-04-01,49
2019-05-01,42
2019-06-01,49
2019-07-01,57
2019-08-01,54
2019-09-01,62
2019-10-01,67
2019-11-01,68
2019-12-01,58
2020-01-01,61
2020-02-01,38
2020-03-01,48
2020-04-01,32
2020-05-01,46
2020-06-01,46
2020-07-01,77
2020-08-01,52
2020-09-01,90
2020-10-01,61
2020-11-01,62
2020-12-01,66
2021-01-01,64
2021-02-01,87
2021-03-01,73
2021-04-01,76
2021-05-01,68
2021-06-01,95
2021-07-01,55
2021-08-01,77
2021-09-01,66
2021-10-01,66
2021-11-01,69
2021-12-01,70
2022-01-01,90
2022-02-01,74
2022-03-01,77
2022-04-01,40
2022-05-01,65
2022-06-01,55
2022-07-01,59
2022-08-01,51
2022-09-01,51
2022-10-01,49
2022-11-01,62
2022-12-01,46
2023-01-01,47
2023-02-01,47
2023-03-01,46
2023-04-01,33
2023-05-01,37
2023-06-01,39
2023-07-01,44
2023-08-01,56
2023-09-01,42
2023-10-01,41
2023-11-01,47
2023-12-01,51
2024-01-01,55
2024-02-01,42
2024-03-01,47
2024-04-01,67
2024-05-01,63
2024-06-01,62
2024-07-01,54
2024-08-01,66
2024-09-01,45
2024-10-01,70
2024-11-01,64
2024-12-01,90
2025-01-01,63
2025-02-01,70
2025-03-01,73
2025-04-01,62
2025-05-01,62
2025-06-01,61
2025-07-01,93
2025-08-01,60
2025-09-01,52
2025-10-01,62
2025-11-01,70
