date,Colombo_hotel
2015-01-01,60
2015-02-01,61
2015-03-01,57
2015-04-01,59
2015-05-01,58
2015-06-01,61
2015-07-01,58
2015-08-01,70
2015-09-01,68
2015-10-01,59
2015-11-01,60
2015-12-01,79
2016-01-01,66
2016-02-01,62
2016-03-01,61
2016-04-01,57
2016-05-01,56
2016-06-01,55
2016-07-01,63
2016-08-01,56
2016-09-01,51
2016-10-01,55
2016-11-01,58
2016-12-01,68
2017-01-01,73
2017-02-01,63
2017-03-01,57
2017-04-01,61
2017-05-01,61
2017-06-01,65
2017-07-01,63
2017-08-01,72
2017-09-01,66
2017-10-01,65
2017-11-01,73
2017-12-01,88
2018-01-01,89
2018-02-01,76
2018-03-01,71
2018-04-01,72
2018-05-01,77
2018-06-01,78
2018-07-01,85
2018-08-01,90
2018-09-01,76
2018-10-01,67
2018-11-01,73
2018-12-01,89
2019-01-01,90
2019-02-01,80
2019-03-01,69
2019-04-01,74
2019-05-01,47
2019-06-01,53
2019-07-01,61
2019-08-01,79
2019-09-01,78
2019-10-01,73
2019-11-01,75
2019-12-01,92
2020-01-01,86
2020-02-01,80
2020-03-01,39
2020-04-01,13
2020-05-01,20
2020-06-01,38
2020-07-01,43
2020-08-01,47
2020-09-01,53
2020-10-01,26
2020-11-01,20
2020-12-01,32
2021-01-01,38
2021-02-01,41
2021-03-01,41
2021-04-01,42
2021-05-01,18
2021-06-01,15
2021-07-01,33
2021-08-01,25
2021-09-01,17
2021-10-01,38
2021-11-01,53
2021-12-01,65
2022-01-01,61
2022-02-01,55
2022-03-01,61
2022-04-01,49
2022-05-01,55
2022-06-01,47
2022-07-01,43
2022-08-01,62
2022-09-01,64
2022-10-01,61
2022-11-01,60
2022-12-01,71
2023-01-01,60
2023-02-01,62
2023-03-01,60
2023-04-01,61
2023-05-01,62
2023-06-01,71
2023-07-01,78
2023-08-01,83
2023-09-01,69
2023-10-01,66
2023-11-01,68
2023-12-01,100
2024-01-01,83
2024-02-01,81
2024-03-01,67
2024-04-01,81
2024-05-01,79
2024-06-01,79
2024-07-01,85
2024-08-01,80
2024-09-01,67
2024-10-01,67
2024-11-01,72
2024-12-01,91
2025-01-01,81
2025-02-01,71
2025-03-01,62
2025-04-01,64
2025-05-01,63
2025-06-01,59
2025-07-01,69
2025-08-01,76
2025-09-01,64
2025-10-01,67
2025-11-01,70
2025-12-01,70
