,Ella_Sri_Lanka
2023-01-01,40
2023-01-08,34
2023-01-15,39
2023-01-22,41
2023-01-29,43
2023-02-05,49
2023-02-12,42
2023-02-19,40
2023-02-26,39
2023-03-05,51
2023-03-12,41
2023-03-19,43
2023-03-26,38
2023-04-02,44
2023-04-09,44
2023-04-16,46
2023-04-23,35
2023-04-30,34
2023-05-07,35
2023-05-14,30
2023-05-21,30
2023-05-28,31
2023-06-04,28
2023-06-11,37
2023-06-18,35
2023-06-25,43
2023-07-02,46
2023-07-09,45
2023-07-16,49
2023-07-23,55
2023-07-30,54
2023-08-06,72
2023-08-13,56
2023-08-20,59
2023-08-27,49
2023-09-03,38
2023-09-10,43
2023-09-17,47
2023-09-24,45
2023-10-01,32
2023-10-08,33
2023-10-15,32
2023-10-22,36
2023-10-29,31
2023-11-05,44
2023-11-12,48
2023-11-19,41
2023-11-26,43
2023-12-03,54
2023-12-10,52
2023-12-17,51
2023-12-24,88
2023-12-31,70
2024-01-07,76
2024-01-14,74
2024-01-21,72
2024-01-28,59
2024-02-04,70
2024-02-11,71
2024-02-18,77
2024-02-25,62
2024-03-03,64
2024-03-10,66
2024-03-17,71
2024-03-24,73
2024-03-31,68
2024-04-07,73
2024-04-14,61
2024-04-21,57
2024-04-28,55
2024-05-05,49
2024-05-12,33
2024-05-19,33
2024-05-26,33
2024-06-02,25
2024-06-09,29
2024-06-16,38
2024-06-23,36
2024-06-30,47
2024-07-07,57
2024-07-14,57
2024-07-21,63
2024-07-28,56
2024-08-04,58
2024-08-11,79
2024-08-18,67
2024-08-25,55
2024-09-01,54
2024-09-08,59
2024-09-15,50
2024-09-22,48
2024-09-29,37
2024-10-06,45
2024-10-13,42
2024-10-20,46
2024-10-27,47
2024-11-03,57
2024-11-10,53
2024-11-17,58
2024-11-24,67
2024-12-01,60
2024-12-08,50
2024-12-15,60
2024-12-22,73
2024-12-29,86
2025-01-05,94
2025-01-12,94
2025-01-19,85
2025-01-26,63
2025-02-02,83
2025-02-09,96
2025-02-16,70
2025-02-23,79
2025-03-02,62
2025-03-09,88
2025-03-16,69
2025-03-23,62
2025-03-30,64
2025-04-06,64
2025-04-13,77
2025-04-20,72
2025-04-27,55
2025-05-04,37
2025-05-11,37
2025-05-18,32
2025-05-25,30
2025-06-01,28
2025-06-08,40
2025-06-15,34
2025-06-22,30
2025-06-29,42
2025-07-06,58
2025-07-13,68
2025-07-20,70
2025-07-27,67
2025-08-03,75
2025-08-10,100
2025-08-17,74
2025-08-24,63
2025-08-31,75
2025-09-07,66
2025-09-14,52
2025-09-21,56
2025-09-28,42
2025-10-05,44
2025-10-12,47
2025-10-19,46
2025-10-26,47
2025-11-02,64
2025-11-09,66
2025-11-16,62
2025-11-23,67
2025-11-30,44
2025-12-07,41
