,job_vacancies
2014-12-28,31
2015-01-04,24
2015-01-11,33
2015-01-18,38
2015-01-25,39
2015-02-01,41
2015-02-08,36
2015-02-15,40
2015-02-22,33
2015-03-01,37
2015-03-08,42
2015-03-15,39
2015-03-22,43
2015-03-29,37
2015-04-05,32
2015-04-12,25
2015-04-19,44
2015-04-26,42
2015-05-03,37
2015-05-10,45
2015-05-17,38
2015-05-24,39
2015-05-31,37
2015-06-07,36
2015-06-14,38
2015-06-21,42
2015-06-28,38
2015-07-05,43
2015-07-12,38
2015-07-19,39
2015-07-26,29
2015-08-02,38
2015-08-09,32
2015-08-16,29
2015-08-23,36
2015-08-30,40
2015-09-06,37
2015-09-13,42
2015-09-20,38
2015-09-27,40
2015-10-04,39
2015-10-11,42
2015-10-18,39
2015-10-25,43
2015-11-01,46
2015-11-08,44
2015-11-15,47
2015-11-22,41
2015-11-29,45
2015-12-06,47
2015-12-13,46
2015-12-20,39
2015-12-27,37
2016-01-03,57
2016-01-10,45
2016-01-17,46
2016-01-24,44
2016-01-31,43
2016-02-07,38
2016-02-14,40
2016-02-21,38
2016-02-28,40
2016-03-06,36
2016-03-13,35
2016-03-20,34
2016-03-27,34
2016-04-03,34
2016-04-10,24
2016-04-17,42
2016-04-24,48
2016-05-01,44
2016-05-08,44
2016-05-15,37
2016-05-22,47
2016-05-29,49
2016-06-05,49
2016-06-12,46
2016-06-19,44
2016-06-26,41
2016-07-03,42
2016-07-10,35
2016-07-17,38
2016-07-24,35
2016-07-31,36
2016-08-07,37
2016-08-14,34
2016-08-21,37
2016-08-28,45
2016-09-04,45
2016-09-11,43
2016-09-18,49
2016-09-25,46
2016-10-02,49
2016-10-09,45
2016-10-16,46
2016-10-23,45
2016-10-30,47
2016-11-06,46
2016-11-13,47
2016-11-20,49
2016-11-27,40
2016-12-04,37
2016-12-11,37
2016-12-18,37
2016-12-25,34
2017-01-01,46
2017-01-08,48
2017-01-15,49
2017-01-22,44
2017-01-29,43
2017-02-05,43
2017-02-12,46
2017-02-19,44
2017-02-26,42
2017-03-05,40
2017-03-12,42
2017-03-19,41
2017-03-26,38
2017-04-02,36
2017-04-09,23
2017-04-16,42
2017-04-23,44
2017-04-30,41
2017-05-07,36
2017-05-14,41
2017-05-21,41
2017-05-28,41
2017-06-04,44
2017-06-11,46
2017-06-18,44
2017-06-25,37
2017-07-02,48
2017-07-09,44
2017-07-16,47
2017-07-23,43
2017-07-30,43
2017-08-06,46
2017-08-13,50
2017-08-20,43
2017-08-27,38
2017-09-03,48
2017-09-10,52
2017-09-17,50
2017-09-24,47
2017-10-01,43
2017-10-08,46
2017-10-15,48
2017-10-22,48
2017-10-29,47
2017-11-05,54
2017-11-12,51
2017-11-19,50
2017-11-26,49
2017-12-03,48
2017-12-10,46
2017-12-17,42
2017-12-24,43
2017-12-31,50
2018-01-07,53
2018-01-14,50
2018-01-21,47
2018-01-28,45
2018-02-04,44
2018-02-11,42
2018-02-18,50
2018-02-25,47
2018-03-04,50
2018-03-11,54
2018-03-18,57
2018-03-25,48
2018-04-01,49
2018-04-08,36
2018-04-15,49
2018-04-22,57
2018-04-29,51
2018-05-06,60
2018-05-13,59
2018-05-20,54
2018-05-27,64
2018-06-03,61
2018-06-10,60
2018-06-17,51
2018-06-24,46
2018-07-01,52
2018-07-08,59
2018-07-15,54
2018-07-22,53
2018-07-29,53
2018-08-05,57
2018-08-12,63
2018-08-19,61
2018-08-26,66
2018-09-02,70
2018-09-09,69
2018-09-16,65
2018-09-23,63
2018-09-30,64
2018-10-07,64
2018-10-14,68
2018-10-21,63
2018-10-28,63
2018-11-04,70
2018-11-11,60
2018-11-18,54
2018-11-25,63
2018-12-02,65
2018-12-09,61
2018-12-16,57
2018-12-23,53
2018-12-30,79
2019-01-06,84
2019-01-13,72
2019-01-20,76
2019-01-27,74
2019-02-03,68
2019-02-10,67
2019-02-17,65
2019-02-24,76
2019-03-03,69
2019-03-10,72
2019-03-17,73
2019-03-24,67
2019-03-31,64
2019-04-07,46
2019-04-14,51
2019-04-21,51
2019-04-28,69
2019-05-05,77
2019-05-12,65
2019-05-19,82
2019-05-26,88
2019-06-02,78
2019-06-09,72
2019-06-16,76
2019-06-23,79
2019-06-30,75
2019-07-07,87
2019-07-14,80
2019-07-21,84
2019-07-28,82
2019-08-04,78
2019-08-11,69
2019-08-18,80
2019-08-25,88
2019-09-01,97
2019-09-08,91
2019-09-15,100
2019-09-22,86
2019-09-29,88
2019-10-06,68
2019-10-13,76
2019-10-20,68
2019-10-27,67
2019-11-03,68
2019-11-10,52
2019-11-17,77
2019-11-24,83
2019-12-01,82
2019-12-08,73
2019-12-15,74
2019-12-22,66
2019-12-29,92
2020-01-05,88
