,Colombo_hotel
2023-01-01,65
2023-01-08,56
2023-01-15,53
2023-01-22,57
2023-01-29,52
2023-02-05,56
2023-02-12,58
2023-02-19,57
2023-02-26,56
2023-03-05,61
2023-03-12,47
2023-03-19,52
2023-03-26,52
2023-04-02,54
2023-04-09,57
2023-04-16,53
2023-04-23,57
2023-04-30,56
2023-05-07,56
2023-05-14,52
2023-05-21,59
2023-05-28,55
2023-06-04,62
2023-06-11,69
2023-06-18,65
2023-06-25,70
2023-07-02,66
2023-07-09,68
2023-07-16,72
2023-07-23,71
2023-07-30,64
2023-08-06,76
2023-08-13,74
2023-08-20,83
2023-08-27,71
2023-09-03,62
2023-09-10,56
2023-09-17,65
2023-09-24,65
2023-10-01,67
2023-10-08,57
2023-10-15,59
2023-10-22,59
2023-10-29,54
2023-11-05,62
2023-11-12,69
2023-11-19,61
2023-11-26,67
2023-12-03,84
2023-12-10,78
2023-12-17,85
2023-12-24,100
2023-12-31,76
2024-01-07,75
2024-01-14,78
2024-01-21,73
2024-01-28,72
2024-02-04,74
2024-02-11,77
2024-02-18,78
2024-02-25,64
2024-03-03,64
2024-03-10,60
2024-03-17,61
2024-03-24,59
2024-03-31,61
2024-04-07,67
2024-04-14,69
2024-04-21,82
2024-04-28,79
2024-05-05,77
2024-05-12,69
2024-05-19,71
2024-05-26,64
2024-06-02,66
2024-06-09,70
2024-06-16,81
2024-06-23,69
2024-06-30,77
2024-07-07,80
2024-07-14,80
2024-07-21,73
2024-07-28,72
2024-08-04,67
2024-08-11,75
2024-08-18,78
2024-08-25,64
2024-09-01,66
2024-09-08,67
2024-09-15,56
2024-09-22,52
2024-09-29,58
2024-10-06,58
2024-10-13,71
2024-10-20,63
2024-10-27,63
2024-11-03,67
2024-11-10,59
2024-11-17,64
2024-11-24,66
2024-12-01,83
2024-12-08,79
2024-12-15,88
2024-12-22,89
2024-12-29,83
2025-01-05,76
2025-01-12,74
2025-01-19,70
2025-01-26,68
2025-02-02,65
2025-02-09,71
2025-02-16,65
2025-02-23,61
2025-03-02,63
2025-03-09,61
2025-03-16,49
2025-03-23,58
2025-03-30,57
2025-04-06,58
2025-04-13,59
2025-04-20,58
2025-04-27,56
2025-05-04,52
2025-05-11,58
2025-05-18,60
2025-05-25,58
2025-06-01,59
2025-06-08,58
2025-06-15,50
2025-06-22,55
2025-06-29,62
2025-07-06,68
2025-07-13,58
2025-07-20,63
2025-07-27,65
2025-08-03,73
2025-08-10,71
2025-08-17,70
2025-08-24,63
2025-08-31,65
2025-09-07,56
2025-09-14,59
2025-09-21,59
2025-09-28,55
2025-10-05,54
2025-10-12,64
2025-10-19,58
2025-10-26,60
2025-11-02,64
2025-11-09,61
2025-11-16,60
2025-11-23,73
2025-11-30,57
2025-12-07,57
